     HGHT(m)     PRES(hPa)       TEMP(K)   QV(kg/kg)
    0.000000   1000.000000    298.130000    0.015370
   49.364000    994.513874    297.790226    0.015198
  151.907000    983.163348    297.425400    0.015031
  259.534000    971.246966    297.084160    0.014774
  372.246000    958.895009    296.465208    0.014516
  490.042000    946.126265    295.867152    0.014259
  612.924000    933.069280    295.290660    0.014003
  740.890000    919.528443    294.735408    0.013746
  873.941000    905.628179    294.199128    0.013489
 1012.076000    891.282763    293.684424    0.013138
 1155.297000    876.719387    292.884894    0.012881
 1303.602000    861.853277    292.102822    0.012532
 1456.992000    846.704693    291.643524    0.012182
 1615.466000    831.196537    290.896970    0.011738
 1779.025000    815.450600    289.860283    0.011201
 1947.669000    799.582330    289.146004    0.010666
 2121.398000    783.422431    288.447213    0.010126
 2300.212000    767.087396    287.454357    0.009585
 2484.110000    750.597048    286.474287    0.009042
 2673.093000    733.969432    285.507450    0.008534
 2867.161000    717.222488    284.552451    0.008044
 3066.313000    700.376027    283.519425    0.007514
 3270.551000    683.447053    282.496695    0.007011
 3479.873000    666.451686    281.167910    0.006524
 3694.280000    649.330066    280.163468    0.006052
 3913.771000    632.261260    278.849166    0.005608
 4138.348000    615.106181    277.542180    0.005180
 4368.008000    597.963756    276.240259    0.004778
 4602.754000    580.930824    274.944632    0.004394
 4842.585000    563.882761    273.653076    0.004036
 5087.500000    546.912212    272.365950    0.003695
 5337.500000    530.036799    270.758100    0.003372
 5592.585000    513.273724    269.151274    0.003066
 5852.754000    496.639177    267.871968    0.002778
 6118.008000    480.084518    266.265898    0.002506
 6388.348000    463.749644    264.659967    0.002263
 6663.771000    447.585517    263.051985    0.002028
 6944.280000    431.547859    261.442974    0.001810
 7229.873000    415.764944    259.497232    0.001612
 7520.551000    400.138256    257.880700    0.001430
 7816.313000    384.735157    255.924300    0.001258
 8117.161000    369.565494    253.666896    0.001075
 8423.093000    354.641526    251.742072    0.000909
 8734.110000    339.971089    249.474435    0.000763
 9050.212000    325.559488    247.200096    0.000634
 9371.398000    311.415916    244.577008    0.000520
 9697.670000    297.550276    242.286779    0.000420
10029.025000    283.927256    239.988454    0.000333
10365.466000    270.636813    237.337296    0.000267
10706.991000    257.645393    235.021591    0.000211
11053.602000    244.923648    232.348383    0.000167
11405.297000    232.515679    229.663477    0.000133
11762.076000    220.426593    226.965684    0.000105
12123.940000    208.694748    224.254494    0.000066
12490.890000    197.259369    221.530026    0.000049
12862.924000    186.159498    218.791121    0.000036
13240.042000    175.371319    217.401952    0.000033
13622.246000    164.958366    216.317530    0.000029
14009.534000    154.895125    214.816759    0.000026
14401.907000    145.187490    213.254784    0.000023
14799.364000    135.819587    211.629790    0.000019
15201.907000    126.843142    209.940516    0.000016
15609.534000    118.226067    208.184571    0.000014
16022.246000    110.006516    206.360140    0.000011
16440.043000    102.182205    204.465929    0.000009
16862.924000     94.801949    202.500090    0.000007
17290.891000     87.866825    200.460276    0.000006
17723.941000     81.386421    198.344672    0.000004
18162.076000     75.322050    196.562682    0.000003
18605.297000     69.680112    194.295817    0.000003
19053.602000     64.449618    192.368209    0.000002
