,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device
0,1,1,1.0323752085367839,0.6063833333333334,9.352872133255005,10.00918698310852,0.01,1000,True,cpu
1,1,2,0.5713115309675535,0.7792666666666667,9.557179689407349,19.624873399734497,0.01,1000,True,cpu
2,1,3,0.48758586347103117,0.8190333333333333,9.066132068634033,28.738520860671997,0.01,1000,True,cpu
3,1,4,0.43967055678367617,0.8403,9.05336594581604,37.83300971984863,0.01,1000,True,cpu
4,1,5,0.393559105694294,0.8552666666666666,8.561755418777466,46.44028067588806,0.01,1000,True,cpu
5,2,1,1.059963579972585,0.58835,7.5750510692596436,13.200307369232178,0.01,1000,True,cuda
6,2,2,0.5832276518146197,0.7749333333333334,7.024577379226685,20.29839038848877,0.01,1000,True,cuda
7,2,3,0.4924760937690735,0.8174333333333333,6.970921277999878,27.325854301452637,0.01,1000,True,cuda
8,2,4,0.4457643086711566,0.8341666666666666,6.984802961349487,34.37865400314331,0.01,1000,True,cuda
9,2,5,0.4078032021721204,0.8499333333333333,6.904955863952637,41.34778642654419,0.01,1000,True,cuda
10,3,1,1.033623735109965,0.6069,9.467983961105347,10.064220905303955,0.01,1000,False,cpu
11,3,2,0.5496363798777263,0.7844333333333333,8.826056957244873,18.942286252975464,0.01,1000,False,cpu
12,3,3,0.45616875936587653,0.8280833333333333,9.267678260803223,28.254965782165527,0.01,1000,False,cpu
13,3,4,0.39581574499607086,0.8541333333333333,9.326611995697021,37.62457847595215,0.01,1000,False,cpu
14,3,5,0.35808266401290895,0.8667333333333334,8.921820163726807,46.59990620613098,0.01,1000,False,cpu
15,4,1,0.9455157866080602,0.6392666666666666,6.883405685424805,7.395046949386597,0.01,1000,False,cuda
16,4,2,0.5088331739107768,0.8100666666666667,6.69342041015625,14.137211561203003,0.01,1000,False,cuda
17,4,3,0.4174718275666237,0.8482833333333333,6.669042110443115,20.8554208278656,0.01,1000,False,cuda
18,4,4,0.36698682804902394,0.8651333333333333,6.693626642227173,27.598755836486816,0.01,1000,False,cuda
19,4,5,0.33615473508834837,0.8749666666666667,6.721921443939209,34.36948013305664,0.01,1000,False,cuda
20,5,1,1.335823611418406,0.49116666666666664,8.297247409820557,9.26488733291626,0.01,2000,True,cpu
21,5,2,0.6629191776116689,0.74215,8.20361590385437,17.517014980316162,0.01,2000,True,cpu
22,5,3,0.538398747642835,0.79035,8.142003059387207,25.701016426086426,0.01,2000,True,cpu
23,5,4,0.4749962627887726,0.81775,8.299610376358032,34.04362201690674,0.01,2000,True,cpu
24,5,5,0.42840804159641266,0.8406333333333333,8.069293737411499,42.162424087524414,0.01,2000,True,cpu
25,6,1,1.3099202076594034,0.4881,5.252645015716553,6.233570575714111,0.01,2000,True,cuda
26,6,2,0.6554627597332001,0.7490333333333333,6.7866973876953125,13.075462102890015,0.01,2000,True,cuda
27,6,3,0.5527388890584309,0.7911666666666667,6.697847366333008,19.830819845199585,0.01,2000,True,cuda
28,6,4,0.4960003207127253,0.81755,6.799816608428955,26.688149213790894,0.01,2000,True,cuda
29,6,5,0.4498066653807958,0.83715,6.742630958557129,33.490779638290405,0.01,2000,True,cuda
30,7,1,1.5338986376921335,0.4227666666666667,8.117311239242554,9.113963842391968,0.01,2000,False,cpu
31,7,2,0.7405851284662882,0.7109833333333333,8.236675500869751,17.39515495300293,0.01,2000,False,cpu
32,7,3,0.5906080504258474,0.76945,8.054303169250488,25.494462966918945,0.01,2000,False,cpu
33,7,4,0.5247250527143479,0.8043166666666667,8.164681673049927,33.700161933898926,0.01,2000,False,cpu
34,7,5,0.4805575370788574,0.8241166666666667,8.239721536636353,41.987889528274536,0.01,2000,False,cpu
35,8,1,1.2131834129492443,0.5436833333333333,5.137509822845459,6.0222296714782715,0.01,2000,False,cuda
36,8,2,0.6595571458339691,0.7443333333333333,6.758528470993042,12.83288860321045,0.01,2000,False,cuda
37,8,3,0.5579396287600199,0.7898166666666666,6.60074520111084,19.483559131622314,0.01,2000,False,cuda
38,8,4,0.501977198322614,0.8144333333333333,6.7090935707092285,26.245458364486694,0.01,2000,False,cuda
39,8,5,0.45336733957131703,0.8349833333333333,6.719911813735962,33.020254373550415,0.01,2000,False,cuda
